date,amount,description,category,account_name
2024-01-15,-85.50,Whole Foods Market,Food,Chase Checking
2024-01-16,6500.00,Monthly Salary - Tech Corp,Salary,Chase Checking
2024-01-17,-125.50,Electric Bill,Bills,Chase Checking
2024-01-18,-12.75,Starbucks Coffee,Food,Chase Checking
2024-01-19,-55.00,Gas Station,Transport,Chase Checking
2024-01-20,-89.99,Internet & Cable,Bills,Chase Checking
2024-01-22,-45.00,Local Restaurant,Food,Chase Checking
2024-01-23,-18.50,Uber Ride,Transport,Chase Checking
2024-01-24,-67.99,Amazon Purchase,Shopping,Chase Checking
2024-01-25,-15.99,Netflix Subscription,Entertainment,Chase Checking
2024-01-26,-120.30,Grocery Store,Food,Chase Checking
2024-01-27,-28.00,Movie Theater,Entertainment,Chase Checking
2024-01-28,-150.00,Doctor Visit,Healthcare,Wells Fargo Savings
2024-01-29,-750.00,401k Contribution,Investment,Vanguard 401k
2024-01-30,-2200.00,Rent Payment,Bills,Chase Checking
2024-02-01,-89.50,Target,Shopping,Chase Checking
2024-02-02,-9.99,Spotify Premium,Entertainment,Chase Checking
2024-02-03,-25.99,Pharmacy,Healthcare,Wells Fargo Savings
2024-02-04,-30.00,Metro Card,Transport,Chase Checking
2024-02-05,1200.00,Freelance Project,Salary,Chase Checking
2024-02-06,-65.00,Phone Bill,Bills,Chase Checking
2024-02-07,-125.00,Online Clothing,Shopping,Chase Checking
2024-02-08,-8.99,McDonald's,Food,Chase Checking
2024-02-09,-25.50,Food Delivery,Food,Chase Checking
2024-02-10,-180.00,Insurance Premium,Bills,Wells Fargo Savings
2024-02-11,-500.00,IRA Contribution,Investment,Fidelity Roth IRA
2024-02-12,-299.99,Electronics Store,Shopping,Chase Checking
2024-02-13,-120.00,Concert Tickets,Entertainment,Chase Checking
2024-02-14,-45.30,Water & Sewer,Bills,Chase Checking
2024-02-15,-156.75,Home Depot,Shopping,Chase Checking